Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
11-26-2022-11-58-13.353,1, 0.103245,0.048173,65520, SelfUp,
11-26-2022-11-58-13.453,1, 0.0460717,0.047889,65520, SelfUp,
11-26-2022-11-58-13.353,1, 0.3735784,0.046928,13902, SelfDown,
11-26-2022-11-58-13.554,1, 0.3857911,0.045965,13904, SelfDown,
11-26-2022-11-58-13.654,1, 0.2852883,0.045965,13904, SelfDown,
11-26-2022-11-58-13.453,1, 0.6067746,0.044082,13906, SelfDown,
11-26-2022-11-58-13.754,1, 0.3058754,0.044082,13906, SelfDown,
11-26-2022-11-58-13.854,1, 0.3017147,0.043982,13908, SelfDown,
11-26-2022-11-58-13.955,1, 0.2755643,0.047317,14576, SelfDown,
11-26-2022-11-58-14.055,1, 0.1751558,0.047317,14576, SelfDown,
11-26-2022-11-58-13.554,1, 0.6973651,0.058569,68376, SelfUp,
11-26-2022-11-58-13.654,1, 0.5968623,0.058569,68376, SelfUp,
11-26-2022-11-58-13.754,1, 0.4968428,0.058569,68376, SelfUp,
11-26-2022-11-58-13.854,1, 0.3968374,0.058569,68376, SelfUp,
11-26-2022-11-58-13.955,1, 0.3401293,0.05667,68595, SelfUp,
11-26-2022-11-58-14.055,1, 0.2397208,0.05667,68595, SelfUp,
11-26-2022-11-58-14.155,1, 0.1395961,0.05667,68595, SelfUp,
11-26-2022-11-58-14.258,1, 0.0505904,0.04573,72548, SelfUp,
11-26-2022-11-58-14.359,1, 0.0849497,0.050821,72855, SelfUp,
11-26-2022-11-58-14.155,1, 0.2936695,0.04838,17069, SelfDown,
11-26-2022-11-58-14.459,1, 0.0786469,0.049822,73033, SelfUp,
11-26-2022-11-58-14.258,1, 0.3249215,0.045329,20164, SelfDown,
11-26-2022-11-58-14.559,1, 0.0950446,0.04658,77135, SelfUp,
11-26-2022-11-58-14.661,1, 0.0406048,0.043108,79131, SelfUp,
11-26-2022-11-58-14.360,1, 0.4956544,0.043584,24438, SelfDown,
11-26-2022-11-58-14.459,1, 0.3963163,0.043584,24438, SelfDown,
11-26-2022-11-58-14.761,1, 0.1843113,0.035986,82528, SelfUp,
11-26-2022-11-58-14.864,1, 0.081773,0.035986,82528, SelfUp,
11-26-2022-11-58-14.964,1, 0.0344255,0.035965,88004, SelfUp,
11-26-2022-11-58-14.559,1, 0.5223369,0.04076,29210, SelfDown,
11-26-2022-11-58-14.761,1, 0.3295828,0.04076,29210, SelfDown,
11-26-2022-11-58-14.661,1, 0.4296582,0.04076,29210, SelfDown,
11-26-2022-11-58-15.064,1, 0.0383773,0.039907,88210, SelfUp,
11-26-2022-11-58-15.165,1, 0.0405568,0.039968,88931, SelfUp,
11-26-2022-11-58-14.864,1, 0.3434351,0.041789,32196, SelfDown,
11-26-2022-11-58-14.964,1, 0.3334192,0.041999,32324, SelfDown,
11-26-2022-11-58-15.266,1, 0.046865,0.044294,92902, SelfUp,
11-26-2022-11-58-15.366,1, 0.0450833,0.046323,92931, SelfUp,
11-26-2022-11-58-15.468,1, 0.039807,0.03977,95296, SelfUp,
11-26-2022-11-58-15.165,1, 0.4240144,0.044475,23736, SelfDown,
11-26-2022-11-58-15.568,1, 0.0692322,0.035976,99482, SelfUp,
11-26-2022-11-58-15.266,1, 0.3828169,0.042833,24103, SelfDown,
11-26-2022-11-58-15.064,1, 0.5983866,0.042833,24103, SelfDown,
11-26-2022-11-58-15.366,1, 0.3165637,0.042833,24103, SelfDown,
11-26-2022-11-58-15.668,1, 0.0333159,0.035806,102370, SelfUp,
11-26-2022-11-58-15.468,1, 0.3241169,0.041705,29453, SelfDown,
11-26-2022-11-58-15.768,1, 0.0369705,0.038739,102383, SelfUp,
11-26-2022-11-58-15.869,1, 0.0360368,0.038697,103322, SelfUp,
11-26-2022-11-58-15.668,1, 0.3346118,0.040365,31882, SelfDown,
11-26-2022-11-58-15.970,1, 0.0930807,0.043023,103414, SelfUp,
11-26-2022-11-58-16.071,1, 0.054525,0.048111,103421, SelfUp,
11-26-2022-11-58-15.768,1, 0.3913867,0.045861,34252, SelfDown,
11-26-2022-11-58-15.568,1, 0.5914764,0.045861,34252, SelfDown,
11-26-2022-11-58-15.970,1, 0.3521409,0.044194,37407, SelfDown,
11-26-2022-11-58-15.869,1, 0.4531893,0.044194,37407, SelfDown,
11-26-2022-11-58-16.171,1, 0.2636677,0.04461,39168, SelfDown,
11-26-2022-11-58-16.373,1, 0.1762269,0.048111,72394, SelfUp,
11-26-2022-11-58-16.171,1, 0.3787331,0.048111,72394, SelfUp,
11-26-2022-11-58-16.475,1, 0.0750035,0.048111,72394, SelfUp,
11-26-2022-11-58-16.273,1, 0.2769119,0.048111,72394, SelfUp,
11-26-2022-11-58-16.273,1, 0.391254,0.045661,27727, SelfDown,
11-26-2022-11-58-16.071,1, 0.5949442,0.045661,27727, SelfDown,
11-26-2022-11-58-16.575,1, 0.0973365,0.045933,74700, SelfUp,
11-26-2022-11-58-16.677,1, 0.0323921,0.036212,75778, SelfUp,
11-26-2022-11-58-16.373,1, 0.3628967,0.042052,28137, SelfDown,
11-26-2022-11-58-16.475,1, 0.3343752,0.041322,28287, SelfDown,
11-26-2022-11-58-16.779,1, 0.0393299,0.038968,77315, SelfUp,
11-26-2022-11-58-16.879,1, 0.0359109,0.035924,80083, SelfUp,
11-26-2022-11-58-16.575,1, 0.4503388,0.039702,33697, SelfDown,
11-26-2022-11-58-16.677,1, 0.348819,0.039702,33697, SelfDown,
11-26-2022-11-58-16.979,1, 0.0579917,0.048499,81553, SelfUp,
11-26-2022-11-58-16.779,1, 0.272639,0.041499,35356, SelfDown,
11-26-2022-11-58-17.080,1, 0.0948868,0.047651,84515, SelfUp,
11-26-2022-11-58-17.179,1, 0.0409856,0.042979,85200, SelfUp,
11-26-2022-11-58-16.979,1, 0.2762522,0.043817,38033, SelfDown,
11-26-2022-11-58-17.279,1, 0.0309358,0.034426,86380, SelfUp,
11-26-2022-11-58-16.879,1, 0.444629,0.042591,39829, SelfDown,
11-26-2022-11-58-17.179,1, 0.2695379,0.041222,42411, SelfDown,
11-26-2022-11-58-17.080,1, 0.5557332,0.043747,44735, SelfDown,
11-26-2022-11-58-17.279,1, 0.4208721,0.042856,45610, SelfDown,
11-26-2022-11-58-17.380,1, 0.3204905,0.042856,45610, SelfDown,
11-26-2022-11-58-17.380,1, 0.3319947,0.035402,94041, SelfUp,
11-26-2022-11-58-17.480,1, 0.2638514,0.032756,98579, SelfUp,
11-26-2022-11-58-17.582,1, 0.1626291,0.032756,98579, SelfUp,
11-26-2022-11-58-17.682,1, 0.0623439,0.032756,98579, SelfUp,
11-26-2022-11-58-17.480,1, 0.2712906,0.040099,48011, SelfDown,
11-26-2022-11-58-17.782,1, 0.0413536,0.038839,98596, SelfUp,
11-26-2022-11-58-17.682,1, 0.2298792,0.039802,50541, SelfDown,
11-26-2022-11-58-17.782,1, 0.3561943,0.039802,35378, SelfDown,
11-26-2022-11-58-17.883,1, 0.3218799,0.038606,69031, SelfUp,
11-26-2022-11-58-17.984,1, 0.2210516,0.038606,69031, SelfUp,
11-26-2022-11-58-18.085,1, 0.1199766,0.038606,69031, SelfUp,
11-26-2022-11-58-18.185,1, 0.0335748,0.03797,69032, SelfUp,
11-26-2022-11-58-17.582,1, 0.6405412,0.038808,35637, SelfDown,
11-26-2022-11-58-18.285,1, 0.0397236,0.044136,69059, SelfUp,
11-26-2022-11-58-18.085,1, 0.2654876,0.041506,36121, SelfDown,
11-26-2022-11-58-17.984,1, 0.3665626,0.041506,36121, SelfDown,
11-26-2022-11-58-17.883,1, 0.4673909,0.041506,36121, SelfDown,
11-26-2022-11-58-18.386,1, 0.039123,0.040599,69093, SelfUp,
11-26-2022-11-58-18.185,1, 0.3300509,0.0415,36572, SelfDown,
11-26-2022-11-58-18.486,1, 0.0349985,0.03588,69124, SelfUp,
11-26-2022-11-58-18.586,1, 0.0373536,0.038094,69149, SelfUp,
11-26-2022-11-58-18.285,1, 0.3414614,0.040183,43593, SelfDown,
11-26-2022-11-58-18.486,1, 0.2841864,0.040315,45464, SelfDown,
11-26-2022-11-58-18.687,1, 0.092624,0.035935,69799, SelfUp,
11-26-2022-11-58-18.386,1, 0.4179224,0.039736,46443, SelfDown,
11-26-2022-11-58-18.787,1, 0.0398822,0.035653,70150, SelfUp,
11-26-2022-11-58-18.586,1, 0.4536873,0.038365,51325, SelfDown,
11-26-2022-11-58-18.687,1, 0.3534881,0.038365,51325, SelfDown,
11-26-2022-11-58-18.888,1, 0.1629612,0.03525,74988, SelfUp,
11-26-2022-11-58-18.989,1, 0.0622864,0.03525,74988, SelfUp,
11-26-2022-11-58-18.787,1, 0.3036429,0.037858,52772, SelfDown,
11-26-2022-11-58-19.089,1, 0.0335065,0.039317,76378, SelfUp,
11-26-2022-11-58-18.888,1, 0.3467936,0.038662,55082, SelfDown,
11-26-2022-11-58-18.989,1, 0.3237742,0.038605,55382, SelfDown,
11-26-2022-11-58-19.191,1, 0.1587189,0.046166,76829, SelfUp,
11-26-2022-11-58-19.292,1, 0.0574644,0.046166,76829, SelfUp,
11-26-2022-11-58-19.392,1, 0.0456164,0.041475,81788, SelfUp,
11-26-2022-11-58-19.089,1, 0.4489194,0.043747,58203, SelfDown,
11-26-2022-11-58-19.191,1, 0.3472352,0.043747,58203, SelfDown,
11-26-2022-11-58-19.493,1, 0.0459421,0.044409,81804, SelfUp,
11-26-2022-11-58-19.292,1, 0.3518961,0.044935,58204, SelfDown,
11-26-2022-11-58-19.594,1, 0.0524554,0.048808,81831, SelfUp,
11-26-2022-11-58-19.393,1, 0.4292106,0.04267,41042, SelfDown,
11-26-2022-11-58-19.493,1, 0.3578328,0.040772,41271, SelfDown,
11-26-2022-11-58-19.694,1, 0.3320772,0.049974,83131, SelfUp,
11-26-2022-11-58-19.594,1, 0.4385931,0.03931,41990, SelfDown,
11-26-2022-11-58-19.794,1, 0.2726932,0.047776,85599, SelfUp,
11-26-2022-11-58-19.895,1, 0.1724718,0.047776,85599, SelfUp,
11-26-2022-11-58-19.995,1, 0.071912,0.047776,85599, SelfUp,
11-26-2022-11-58-19.694,1, 0.3910344,0.039653,42169, SelfDown,
11-26-2022-11-58-20.095,1, 0.0402853,0.043092,89901, SelfUp,
11-26-2022-11-58-20.196,1, 0.0441495,0.042662,95093, SelfUp,
11-26-2022-11-58-19.895,1, 0.3761032,0.041284,49457, SelfDown,
11-26-2022-11-58-19.995,1, 0.3183929,0.041382,50593, SelfDown,
11-26-2022-11-58-19.794,1, 0.5448668,0.041924,50975, SelfDown,
11-26-2022-11-58-20.296,1, 0.0476422,0.039877,97465, SelfUp,
11-26-2022-11-58-20.095,1, 0.424814,0.04428,35683, SelfDown,
11-26-2022-11-58-20.196,1, 0.4091002,0.044796,35686, SelfDown,
11-26-2022-11-58-20.396,1, 0.3107763,0.044714,35688, SelfDown,
11-26-2022-11-58-20.296,1, 0.4241964,0.044714,35688, SelfDown,
11-26-2022-11-58-20.497,1, 0.3700695,0.044142,24984, SelfDown,
11-26-2022-11-58-20.597,1, 0.3344667,0.042641,24985, SelfDown,
11-26-2022-11-58-20.698,1, 0.3465643,0.041256,25437, SelfDown,
11-26-2022-11-58-20.396,1, 0.7570805,0.039877,23630, SelfUp,
11-26-2022-11-58-20.497,1, 0.6556911,0.039877,23630, SelfUp,
11-26-2022-11-58-20.698,1, 0.4550326,0.039877,23630, SelfUp,
11-26-2022-11-58-20.597,1, 0.5553488,0.039877,23630, SelfUp,
11-26-2022-11-58-20.798,1, 0.3547626,0.039877,23630, SelfUp,
11-26-2022-11-58-20.898,1, 0.2546793,0.039877,23630, SelfUp,
11-26-2022-11-58-20.999,1, 0.1539219,0.039877,23630, SelfUp,
11-26-2022-11-58-21.099,1, 0.0799147,0.038833,23667, SelfUp,
11-26-2022-11-58-21.199,1, 0.0379159,0.039413,47765, SelfUp,
11-26-2022-11-58-20.898,1, 0.4114144,0.04036,30089, SelfDown,
11-26-2022-11-58-20.798,1, 0.5114977,0.04036,30089, SelfDown,
11-26-2022-11-58-20.999,1, 0.362099,0.039897,31054, SelfDown,
11-26-2022-11-58-21.300,1, 0.0645203,0.033727,47797, SelfUp,
11-26-2022-11-58-21.400,1, 0.0803983,0.034471,47806, SelfUp,
11-26-2022-11-58-21.099,1, 0.3889766,0.038471,33630, SelfDown,
11-26-2022-11-58-21.199,1, 0.4301333,0.037092,36426, SelfDown,
11-26-2022-11-58-21.400,1, 0.3917813,0.036555,40121, SelfDown,
11-26-2022-11-58-21.602,1, 0.2283947,0.061171,47812, SelfUp,
11-26-2022-11-58-21.501,1, 0.3292402,0.061171,47812, SelfUp,
11-26-2022-11-58-21.703,1, 0.1283832,0.061171,47812, SelfUp,
11-26-2022-11-58-21.300,1, 0.5577271,0.039023,41567, SelfDown,
11-26-2022-11-58-21.804,1, 0.0856571,0.047744,47838, SelfUp,
11-26-2022-11-58-21.501,1, 0.4272364,0.040509,41568, SelfDown,
11-26-2022-11-58-21.904,1, 0.0716746,0.043599,47880, SelfUp,
11-26-2022-11-58-21.703,1, 0.3739712,0.044111,41931, SelfDown,
11-26-2022-11-58-21.602,1, 0.4745945,0.044111,41931, SelfDown,
11-26-2022-11-58-22.005,1, 0.0741497,0.045974,47957, SelfUp,
11-26-2022-11-58-22.105,1, 0.0675334,0.039582,50419, SelfUp,
11-26-2022-11-58-21.904,1, 0.2822781,0.041713,29585, SelfDown,
11-26-2022-11-58-22.206,1, 0.0330261,0.03231,55736, SelfUp,
11-26-2022-11-58-21.804,1, 0.4692985,0.038853,30021, SelfDown,
11-26-2022-11-58-22.310,1, 0.0598371,0.032089,58753, SelfUp,
11-26-2022-11-58-22.005,1, 0.4080086,0.038344,30350, SelfDown,
11-26-2022-11-58-22.411,1, 0.0300876,0.029557,63040, SelfUp,
11-26-2022-11-58-22.105,1, 0.3799293,0.037771,35934, SelfDown,
11-26-2022-11-58-22.511,1, 0.0316588,0.031612,63361, SelfUp,
11-26-2022-11-58-22.206,1, 0.3925647,0.037265,37845, SelfDown,
11-26-2022-11-58-22.613,1, 0.0307724,0.033197,65214, SelfUp,
11-26-2022-11-58-22.713,1, 0.0287891,0.031769,67040, SelfUp,
11-26-2022-11-58-22.310,1, 0.4513108,0.036596,41364, SelfDown,
11-26-2022-11-58-22.511,1, 0.3249512,0.038012,41673, SelfDown,
11-26-2022-11-58-22.411,1, 0.4248353,0.038012,41673, SelfDown,
11-26-2022-11-58-22.813,1, 0.0292774,0.03514,67438, SelfUp,
11-26-2022-11-58-22.914,1, 0.02827,0.031187,72395, SelfUp,
11-26-2022-11-58-23.014,1, 0.038812,0.029382,83679, SelfUp,
11-26-2022-11-58-22.713,1, 0.363567,0.034997,48034, SelfDown,
11-26-2022-11-58-23.116,1, 0.0322644,0.039607,83703, SelfUp,
11-26-2022-11-58-22.613,1, 0.6341367,0.037544,49641, SelfDown,
11-26-2022-11-58-22.813,1, 0.4338937,0.037544,49641, SelfDown,
11-26-2022-11-58-23.216,1, 0.0353753,0.0372,83733, SelfUp,
11-26-2022-11-58-23.317,1, 0.0146615,0.02596,90752, SelfUp,
11-26-2022-11-58-23.417,1, 0.048623,0.044091,98914, SelfUp,
11-26-2022-11-58-23.517,1, 0.0528465,0.051126,98931, SelfUp,
11-26-2022-11-58-23.014,1, 0.6001318,0.046534,52026, SelfDown,
11-26-2022-11-58-22.914,1, 0.7003135,0.046534,52026, SelfDown,
11-26-2022-11-58-23.617,1, 0.1839276,0.055545,69261, SelfUp,
11-26-2022-11-58-23.718,1, 0.0829585,0.055545,69261, SelfUp,
11-26-2022-11-58-23.818,1, 0.0386725,0.048961,69597, SelfUp,
11-26-2022-11-58-23.317,1, 0.5731413,0.042358,37335, SelfDown,
11-26-2022-11-58-23.417,1, 0.4730479,0.042358,37335, SelfDown,
11-26-2022-11-58-23.517,1, 0.3730093,0.042358,37335, SelfDown,
11-26-2022-11-58-23.216,1, 0.7388715,0.043528,37483, SelfDown,
11-26-2022-11-58-23.918,1, 0.0389558,0.048667,71992, SelfUp,
11-26-2022-11-58-24.018,1, 0.0443784,0.044273,74498, SelfUp,
11-26-2022-11-58-23.617,1, 0.4489087,0.043286,26350, SelfDown,
11-26-2022-11-58-23.116,1, 0.9494559,0.043286,26350, SelfDown,
11-26-2022-11-58-24.119,1, 0.0357402,0.038645,75863, SelfUp,
11-26-2022-11-58-23.818,1, 0.3387717,0.042695,26352, SelfDown,
11-26-2022-11-58-23.718,1, 0.4388792,0.042695,26352, SelfDown,
11-26-2022-11-58-24.219,1, 0.0419865,0.047748,77341, SelfUp,
11-26-2022-11-58-23.918,1, 0.391607,0.044928,26355, SelfDown,
11-26-2022-11-58-24.319,1, 0.0448042,0.043152,79160, SelfUp,
11-26-2022-11-58-24.018,1, 0.4129911,0.045604,26977, SelfDown,
11-26-2022-11-58-24.421,1, 0.0358634,0.036376,81068, SelfUp,
11-26-2022-11-58-24.119,1, 0.4130954,0.042837,29262, SelfDown,
11-26-2022-11-58-24.521,1, 0.0466041,0.03539,82793, SelfUp,
11-26-2022-11-58-24.621,1, 0.0317179,0.03653,83756, SelfUp,
11-26-2022-11-58-24.219,1, 0.4530425,0.039713,32913, SelfDown,
11-26-2022-11-58-24.319,1, 0.4200445,0.039789,33315, SelfDown,
11-26-2022-11-58-24.822,1, 0.0930108,0.036852,58902, SelfUp,
11-26-2022-11-58-24.721,1, 0.1934348,0.036852,58902, SelfUp,
11-26-2022-11-58-24.421,1, 0.5319067,0.043181,36611, SelfDown,
11-26-2022-11-58-24.521,1, 0.4318258,0.043181,36611, SelfDown,
11-26-2022-11-58-24.931,1, 0.0844332,0.04106,58912, SelfUp,
11-26-2022-11-58-25.034,1, 0.0356209,0.038338,58917, SelfUp,
11-26-2022-11-58-24.721,1, 0.5647977,0.041466,42795, SelfDown,
11-26-2022-11-58-24.822,1, 0.4643737,0.041466,42795, SelfDown,
11-26-2022-11-58-24.621,1, 0.748222,0.04142,43681, SelfDown,
11-26-2022-11-58-25.134,1, 0.3180634,0.041681,58982, SelfUp,
11-26-2022-11-58-25.234,1, 0.2568527,0.040091,59303, SelfUp,
11-26-2022-11-58-25.335,1, 0.1566388,0.040091,59303, SelfUp,
11-26-2022-11-58-25.435,1, 0.0561158,0.040091,59303, SelfUp,
11-26-2022-11-58-25.539,1, 0.0585184,0.038927,59717, SelfUp,
11-26-2022-11-58-24.931,1, 0.695091,0.039219,49117, SelfDown,
11-26-2022-11-58-25.034,1, 0.5921215,0.039219,49117, SelfDown,
11-26-2022-11-58-25.639,1, 0.0409725,0.047059,60445, SelfUp,
11-26-2022-11-58-25.234,1, 0.4691877,0.041858,49727, SelfDown,
11-26-2022-11-58-25.134,1, 0.6433388,0.040324,52068, SelfDown,
11-26-2022-11-58-25.335,1, 0.4426286,0.040324,52068, SelfDown,
11-26-2022-11-58-25.740,1, 0.1075256,0.040458,66803, SelfUp,
11-26-2022-11-58-25.840,1, 0.0454112,0.041146,66804, SelfUp,
11-26-2022-11-58-25.944,1, 0.0351439,0.040292,69383, SelfUp,
11-26-2022-11-58-25.539,1, 0.4519238,0.040764,55596, SelfDown,
11-26-2022-11-58-25.435,1, 0.565667,0.040764,55596, SelfDown,
11-26-2022-11-58-26.046,1, 0.071724,0.041367,71136, SelfUp,
11-26-2022-11-58-25.740,1, 0.4228273,0.039554,58628, SelfDown,
11-26-2022-11-58-26.147,1, 0.0728421,0.039897,72799, SelfUp,
11-26-2022-11-58-25.944,1, 0.336385,0.039237,61956, SelfDown,
11-26-2022-11-58-26.247,1, 0.093225,0.0431,75487, SelfUp,
11-26-2022-11-58-25.840,1, 0.5207022,0.039445,62597, SelfDown,
11-26-2022-11-58-26.046,1, 0.3516335,0.038841,64867, SelfDown,
11-26-2022-11-58-26.147,1, 0.2511328,0.038841,64867, SelfDown,
11-26-2022-11-58-26.353,1, 0.1656103,0.04012,79913, SelfUp,
11-26-2022-11-58-26.453,1, 0.0651518,0.04012,79913, SelfUp,
11-26-2022-11-58-25.639,1, 0.9461038,0.03853,65520, SelfDown,
11-26-2022-11-58-26.554,1, 0.0345818,0.036652,82512, SelfUp,
11-26-2022-11-58-26.655,1, 0.0344078,0.037589,83522, SelfUp,
11-26-2022-11-58-26.353,1, 0.3697459,0.039168,65520, SelfDown,
11-26-2022-11-58-26.755,1, 0.0428479,0.041287,86016, SelfUp,
11-26-2022-11-58-26.247,1, 0.6529869,0.041035,65520, SelfDown,
11-26-2022-11-58-26.554,1, 0.3493856,0.041035,65520, SelfDown,
11-26-2022-11-58-26.453,1, 0.4698209,0.041035,65520, SelfDown,
11-26-2022-11-58-26.857,1, 0.07528,0.042129,86025, SelfUp,
11-26-2022-11-58-26.655,1, 0.3888472,0.042789,65520, SelfDown,
11-26-2022-11-58-26.857,1, 0.3000103,0.044328,65520, SelfDown,
11-26-2022-11-58-26.755,1, 0.4017791,0.044328,65520, SelfDown,
11-26-2022-11-58-26.958,1, 0.3265361,0.044957,88443, SelfUp,
11-26-2022-11-58-27.058,1, 0.2687008,0.044972,88444, SelfUp,
11-26-2022-11-58-27.158,1, 0.1686995,0.044972,88444, SelfUp,
11-26-2022-11-58-27.260,1, 0.0673323,0.044972,88444, SelfUp,
11-26-2022-11-58-27.360,1, 0.0498224,0.048099,88462, SelfUp,
11-26-2022-11-58-26.958,1, 0.5133871,0.049431,65520, SelfDown,
11-26-2022-11-58-27.058,1, 0.4129028,0.049431,65520, SelfDown,
11-26-2022-11-58-27.460,1, 0.0324333,0.034496,103096, SelfUp,
11-26-2022-11-58-27.560,1, 0.0720268,0.038301,103323, SelfUp,
11-26-2022-11-58-27.661,1, 0.0373225,0.037598,103333, SelfUp,
11-26-2022-11-58-27.360,1, 0.346701,0.042893,65520, SelfDown,
11-26-2022-11-58-27.460,1, 0.2458921,0.042893,65520, SelfDown,
11-26-2022-11-58-27.260,1, 0.5360543,0.042893,45864, SelfDown,
11-26-2022-11-58-27.158,1, 0.6374215,0.042893,45864, SelfDown,
11-26-2022-11-58-27.761,1, 0.0421779,0.044887,103347, SelfUp,
11-26-2022-11-58-27.560,1, 0.3748328,0.0437,45956, SelfDown,
11-26-2022-11-58-27.661,1, 0.2911252,0.0437,45956, SelfDown,
11-26-2022-11-58-27.861,1, 0.2663419,0.042183,103355, SelfUp,
11-26-2022-11-58-27.966,1, 0.1622582,0.042183,103355, SelfUp,
11-26-2022-11-58-28.066,1, 0.0613747,0.042183,103355, SelfUp,
11-26-2022-11-58-28.167,1, 0.0764433,0.041683,113078, SelfUp,
11-26-2022-11-58-27.761,1, 0.4882254,0.04136,32174, SelfDown,
11-26-2022-11-58-28.268,1, 0.0357175,0.039674,113089, SelfUp,
11-26-2022-11-58-27.966,1, 0.5043875,0.038598,34668, SelfDown,
11-26-2022-11-58-27.861,1, 0.6084712,0.038598,34668, SelfDown,
11-26-2022-11-58-28.066,1, 0.403504,0.038598,34668, SelfDown,
11-26-2022-11-58-28.167,1, 0.3441144,0.038435,36622, SelfDown,
11-26-2022-11-58-28.368,1, 0.3053741,0.040392,119690, SelfUp,
11-26-2022-11-58-28.268,1, 0.4268697,0.039076,38115, SelfDown,
11-26-2022-11-58-28.368,1, 0.3266357,0.039076,38115, SelfDown,
11-26-2022-11-58-28.469,1, 0.2365789,0.038264,119692, SelfUp,
11-26-2022-11-58-28.670,1, 0.0355422,0.038264,119692, SelfUp,
11-26-2022-11-58-28.570,1, 0.1360495,0.038264,119692, SelfUp,
11-26-2022-11-58-28.770,1, 0.0454969,0.033371,137388, SelfUp,
11-26-2022-11-58-28.469,1, 0.3978652,0.037996,42839, SelfDown,
11-26-2022-11-58-28.870,1, 0.0508137,0.044269,137418, SelfUp,
11-26-2022-11-58-28.670,1, 0.3015763,0.040887,43329, SelfDown,
11-26-2022-11-58-28.971,1, 0.0618898,0.042986,137423, SelfUp,
11-26-2022-11-58-29.073,1, 0.0313165,0.031252,144795, SelfUp,
